Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_17;12;14;271;48;51;-1;19;-2;0.15;0.15;0.13;0.17;0.17;0.15;Optimal
Shape_18;55;64;285;54;44;1;4;0;0.2;0.22;0.2;0.2;0.22;0.21;Optimal
Shape_19;134;58;351;37;234;4;3;2;0.25;0.23;0.25;0.23;0.24;0.24;Optimal
Shape_25;68;27;355;27;122;2;17;2;0.18;0.17;0.17;0.19;0.17;0.17;Optimal
Shape_33;65;35;285;53;340;6;14;2;0.22;0.23;0.24;0.24;0.24;0.23;Optimal
Shape_35;90;98;281;54;70;3;15;3;0.24;0.22;0.24;0.22;0.2;0.22;Optimal
Shape_50;53;45;358;59;276;7;13;3;0.15;0.13;0.16;0.14;0.13;0.14;Optimal
Shape_55;39;63;359;56;184;2;4;0;0.2;0.18;0.17;0.18;0.19;0.18;Optimal
Shape_57;56;42;324;6;200;-3;16;-1;0.24;0.26;0.25;0.25;0.23;0.25;Optimal
Shape_68;17;6;276;62;330;9;13;1;0.2;0.18;0.21;0.18;0.19;0.19;Optimal
Shape_71;40;94;335;7;88;3;2;1;0.24;0.22;0.25;0.21;0.23;0.23;Optimal
Shape_73;17;73;327;43;315;7;5;0;0.23;0.22;0.24;0.22;0.22;0.23;Optimal
Shape_75;79;14;212;25;154;3;4;3;0.25;0.24;0.24;0.25;0.26;0.25;Optimal
Shape_77;113;49;279;63;226;-2;1;2;0.25;0.26;0.24;0.25;0.22;0.24;Optimal
Shape_82;82;81;287;35;207;-2;4;3;0.26;0.26;0.24;0.23;0.24;0.24;Optimal
Shape_84;62;23;331;56;123;1;19;0;0.18;0.21;0.18;0.19;0.19;0.19;Optimal
Shape_85;27;96;332;33;79;0;0;0;0.22;0.22;0.22;0.24;0.25;0.23;Optimal
Shape_86;102;20;228;56;292;6;11;3;0.26;0.26;0.26;0.23;0.26;0.25;Optimal
Shape_90;128;96;357;61;79;0;0;0;0.27;0.25;0.25;0.26;0.26;0.25;Optimal
Shape_92;68;11;330;6;206;9;18;0;0.24;0.26;0.26;0.24;0.23;0.25;Optimal
Shape_96;61;82;353;20;170;1;6;0;0.25;0.26;0.23;0.26;0.26;0.25;Optimal
Shape_100;104;9;316;47;288;2;6;3;0.17;0.19;0.17;0.17;0.2;0.19;Optimal
Shape_105;7;76;211;55;32;0;0;0;0.24;0.25;0.25;0.24;0.24;0.25;Optimal
Shape_106;26;10;249;6;71;6;1;-1;0.22;0.2;0.21;0.23;0.21;0.22;Optimal
Shape_111;4;14;335;58;273;0;0;0;0.19;0.19;0.19;0.16;0.17;0.18;Optimal
Shape_112;11;53;236;38;324;-4;7;-2;0.24;0.25;0.23;0.26;0.24;0.25;Optimal
Shape_122;9;13;239;51;30;-1;3;3;0.12;0.11;0.1;0.1;0.14;0.12;Optimal
Shape_123;46;13;229;35;86;1;7;2;0.21;0.21;0.2;0.22;0.22;0.21;Optimal
Shape_136;18;32;295;41;218;3;13;2;0.17;0.17;0.18;0.19;0.18;0.18;Optimal
Shape_140;11;102;300;48;262;-4;6;3;0.17;0.21;0.2;0.18;0.17;0.19;Optimal
Shape_147;123;38;285;38;158;3;12;3;0.24;0.23;0.24;0.23;0.24;0.24;Optimal
Shape_159;34;137;316;56;69;4;19;1;0.23;0.2;0.22;0.23;0.22;0.22;Optimal
Shape_163;28;151;316;42;222;6;5;2;0.25;0.26;0.25;0.24;0.24;0.24;Optimal
Shape_170;4;66;168;53;136;9;14;3;0.21;0.22;0.23;0.23;0.24;0.23;Optimal
Shape_172;108;114;342;47;76;2;2;-1;0.25;0.25;0.25;0.24;0.25;0.24;Optimal
Shape_176;64;120;331;39;92;1;18;-2;0.21;0.22;0.25;0.23;0.21;0.23;Optimal
